employee id;full name;email;supervisor email;visacard;birthdate;phonenumber;employee status;matrimony;city of birth
6029359;jamie collins;jamie.collins@gmail.com;anthony.parks@gmail.com;4011 6886 2688 4655;1966-05-29;6708827300;active;m;east nicoleville
8129099;travis davis;travis.davis@gmail.com;selena.ward@gmail.com;4835 6697 8286 1616;1974-02-09;5836528603;active;other;lanefurt
483846;christopher burch;christopher.burch@gmail.com;william.jackson@gmail.com;4667 5577 7771 3921;1974-12-03;4514529889;active;s;south jennifer
198196;eric drake;eric.drake@gmail.com;stacy.adams@hotmail.fr;4462 9840 8822 9552;1915-08-15;6614731153;active;m;north daniel
2113739;joshua miller;joshua.miller@gmail.com;eric.drake@gmail.com;4057 4668 3436 7143;2013-02-01;6922670141;active;s;lake jacktown
15909;nicole maldonado;nicole.maldonado@gmail.com;jamie.collins@gmail.com;4944 9176 9570 6800;1952-03-04;9865803889;active;m;lake stephen
6004132;james young;james.young@gmail.com;shaun.brooks@gmail.com;4010 9313 8903 8957;1997-05-26;7465283600;active;m;new john
1632705;benjamin johnson;benjamin.johnson@gmail.com;megan.buck@gmail.com;4586 0348 6968 9680;1948-09-21;3753483231;active;m;new gwendolynburgh
3182162;hannah richards;hannah.richards@gmail.com;darryl.hudson@gmail.com;4627 1202 7915 7334;2018-11-13;3107831093;active;s;paulbury
4261665;michael burton;michael.burton@gmail.com;jeffrey.meyer@gmail.com;4665 7041 5649 9589;1966-04-07;4556782910;active;s;carpenterton
6968955;donna buchanan;donna.buchanan@gmail.com;joshua.miller@gmail.com;4235 7284 8735 7910;1997-01-17;3234000651;terminated;s;ronaldfort
5268100;stacey williams;stacey.williams@gmail.com;christopher.burch@gmail.com;4899 0325 7671 1443;1918-05-26;9514982082;terminated;m;east arielmouth
5947774;megan buck;megan.buck@gmail.com;michael.burton@gmail.com;4450 6079 5880 7108;1925-05-12;2762239567;active;s;williamsmouth
4759770;jeffrey meyer;jeffrey.meyer@gmail.com;nicole.maldonado@gmail.com;4521 6571 5110 1028;1977-01-20;6369190563;active;other;glassmouth
7415694;donna johnson;donna.johnson@gmail.com;james.boyd@gmail.com;4289 3490 5389 4288;1917-12-22;6855781115;terminated;other;davidsonchester
4962580;ashley serrano;ashley.serrano@gmail.com;jim.beasley@gmail.com;4289 4417 4210 3914;1998-05-26;3968938349;terminated;m;elizabethville
6085733;anthony parks;anthony.parks@gmail.com;donna.buchanan@gmail.com;4195 6707 8505 7032;1928-02-16;7352737141;active;m;danielborough
1612247;darryl hudson;darryl.hudson@gmail.com;dennis.russell@gmail.com;4929 9119 5287 7916;1951-02-02;4304142577;active;other;andrewstad
6433171;leslie davidson;leslie.davidson@gmail.com;samuel.hernandez@hotmail.fr;4559 5770 6108 1992;1932-07-06;2204537216;active;other;diazstad
6638401;mercedes weaver;mercedes.weaver@gmail.com;richard.jordan@gmail.com;4176 6267 2360 8511;1988-08-05;3806591071;active;other;south randyside
8095663;stacy adams;stacy.adams@hotmail.fr;benjamin.johnson@gmail.com;4596 7161 8381 1077;1922-12-27;9949653971;active;s;north jennifer
3516862;shaun brooks;shaun.brooks@gmail.com;travis.davis@gmail.com;4181 8825 7711 8122;2020-02-23;2877082141;terminated;m;angelicaborough
3742013;richard jordan;richard.jordan@gmail.com;james.young@gmail.com;4339 7882 1048 0640;2000-08-28;4769615914;terminated;m;south danielfort
8045306;james boyd;james.boyd@gmail.com;mercedes.weaver@gmail.com;4783 8852 7692 2530;1931-09-09;8308051008;terminated;s;east danny
5859599;jim beasley;jim.beasley@gmail.com;catherine.evans@gmail.com;4900 8958 8565 1683;1961-01-23;5345260515;active;s;port jeffreyburgh
1985084;catherine evans;catherine.evans@gmail.com;donna.johnson@gmail.com;4604 4472 8293 0333;1927-10-26;3145973420;active;other;harrischester
1226141;william jackson;william.jackson@gmail.com;stacey.williams@gmail.com;4418 0503 8603 5284;1934-07-11;4283336885;terminated;s;josefort
5516985;dennis russell;dennis.russell@gmail.com;hannah.richards@gmail.com;4477 3435 1430 5986;1990-04-18;4594110482;active;s;east rachelville
4149998;samuel hernandez;samuel.hernandez@hotmail.fr;leslie.davidson@gmail.com;4700 3706 9988 6380;1978-09-18;3855495730;active;m;port amyburgh
