src_id;dest_employee id;src_full name;dest_full name;src_mail address;dest_email;src_supervisor id;dest_supervisor email;src_credit card;dest_visacard;src_date of birth;dest_birthdate;src_phone;dest_phonenumber;src_status;dest_employee status;src_marital status;dest_matrimony;src_city;dest_city of birth;matching_source
6029359;6029359;jamie collins;jamie collins;jamie.collins@gmail.com;jamie.collins@gmail.com;anthony.parks@gmail.com;anthony.parks@gmail.com;4011 6886 2688 4655;4011 6886 2688 4655;1966-05-29;1966-05-29;6708827300;6708827300;active;active;m;m;east nicoleville;east nicoleville;email_match
8129099;8129099;travis davis;travis davis;travis.davis@gmail.com;travis.davis@gmail.com;selena.ward@gmail.com;selena.ward@gmail.com;4228 9289 0782 1268;4835 6697 8286 1616;1974-02-09;1974-02-09;5836528603;5836528603;active;active;other;other;lanefurt;lanefurt;email_match
483846;483846;christopher burch;christopher burch;christopher.burch@gmail.com;christopher.burch@gmail.com;william.jackson@gmail.com;william.jackson@gmail.com;4652 0129 4202 3969;4667 5577 7771 3921;1974-12-03;1974-12-03;4514529889;4514529889;active;active;s;s;south jennifer;south jennifer;email_match
198196;198196;eric drake;eric drake;eric.drake@gmail.com;eric.drake@gmail.com;stacy.adams@gmail.com;stacy.adams@hotmail.fr;4462 9840 8822 9552;4462 9840 8822 9552;1915-08-15;1915-08-15;6614731153;6614731153;active;active;m;m;north daniel;north daniel;email_match
2113739;2113739;joshua miller;joshua miller;joshua.miller@gmail.com;joshua.miller@gmail.com;eric.drake@gmail.com;eric.drake@gmail.com;4057 4668 3436 7143;4057 4668 3436 7143;2013-02-01;2013-02-01;6922670141;6922670141;active;active;s;s;shepardbury;lake jacktown;email_match
6004132;6004132;james young;james young;james.young@gmail.com;james.young@gmail.com;shaun.brooks@gmail.com;shaun.brooks@gmail.com;4010 9313 8903 8957;4010 9313 8903 8957;1997-05-26;1997-05-26;7465283600;7465283600;active;active;m;m;new john;new john;email_match
3182162;3182162;hannah richards;hannah richards;hannah.richards@gmail.com;hannah.richards@gmail.com;darryl.hudson@gmail.com;darryl.hudson@gmail.com;4627 1202 7915 7334;4627 1202 7915 7334;2018-11-13;2018-11-13;3107831093;3107831093;active;active;s;s;paulbury;paulbury;email_match
6968955;6968955;donna buchanan;donna buchanan;donna.buchanan@gmail.com;donna.buchanan@gmail.com;joshua.miller@gmail.com;joshua.miller@gmail.com;4235 7284 8735 7910;4235 7284 8735 7910;1997-01-17;1997-01-17;3234000651;3234000651;terminated;terminated;s;s;ronaldfort;ronaldfort;email_match
5268100;5268100;stacey williams;stacey williams;stacey.williams@gmail.com;stacey.williams@gmail.com;christopher.burch@gmail.com;christopher.burch@gmail.com;4899 0325 7671 1443;4899 0325 7671 1443;1918-05-26;1918-05-26;9514982082;9514982082;terminated;terminated;m;m;east arielmouth;east arielmouth;email_match
5947774;5947774;megan buck;megan buck;megan.buck@gmail.com;megan.buck@gmail.com;;michael.burton@gmail.com;4450 6079 5880 7108;4450 6079 5880 7108;1925-05-12;1925-05-12;2762239567;2762239567;active;active;s;s;transtad;williamsmouth;email_match
4759770;4759770;jeffrey meyer;jeffrey meyer;jeffrey.meyer@gmail.com;jeffrey.meyer@gmail.com;;nicole.maldonado@gmail.com;4521 6571 5110 1028;4521 6571 5110 1028;1977-01-20;1977-01-20;6369190563;6369190563;active;active;other;other;glassmouth;glassmouth;email_match
8201776;7415694;donna johnson;donna johnson;donna.johnson@gmail.com;donna.johnson@gmail.com;james.boyd@gmail.com;james.boyd@gmail.com;4289 3490 5389 4288;4289 3490 5389 4288;1917-12-22;1917-12-22;6855781115;6855781115;terminated;terminated;other;other;davidsonchester;davidsonchester;email_match
4962580;4962580;ashley serrano;ashley serrano;ashley.serrano@gmail.com;ashley.serrano@gmail.com;jim.beasley@gmail.com;jim.beasley@gmail.com;4289 4417 4210 3914;4289 4417 4210 3914;1998-05-26;1998-05-26;3968938349;3968938349;terminated;terminated;m;m;reyesshire;elizabethville;email_match
