id;full name;mail address;supervisor id;credit card;date of birth;phone;status;marital status;city;id_key;matching_source
6029359;jamie collins;jamie.collins@gmail.com;anthony.parks@gmail.com;4011 6886 2688 4655;1966-05-29;6708827300;active;m;east nicoleville;6029359-6029359;employee id_match
8129099;travis davis;travis.davis@gmail.com;selena.ward@gmail.com;4228 9289 0782 1268;1974-02-09;5836528603;active;other;lanefurt;8129099-8129099;employee id_match
483846;christopher burch;christopher.burch@gmail.com;william.jackson@gmail.com;4652 0129 4202 3969;1974-12-03;4514529889;active;s;south jennifer;483846-483846;employee id_match
198196;eric drake;eric.drake@gmail.com;stacy.adams@gmail.com;4462 9840 8822 9552;1915-08-15;6614731153;active;m;north daniel;198196-198196;employee id_match
2113739;joshua miller;joshua.miller@gmail.com;eric.drake@gmail.com;4057 4668 3436 7143;2013-02-01;6922670141;active;s;shepardbury;2113739-2113739;employee id_match
6004132;james young;james.young@gmail.com;shaun.brooks@gmail.com;4010 9313 8903 8957;1997-05-26;7465283600;active;m;new john;6004132-6004132;employee id_match
3182162;hannah richards;hannah.richards@gmail.com;darryl.hudson@gmail.com;4627 1202 7915 7334;2018-11-13;3107831093;active;s;paulbury;3182162-3182162;employee id_match
6968955;donna buchanan;donna.buchanan@gmail.com;joshua.miller@gmail.com;4235 7284 8735 7910;1997-01-17;3234000651;terminated;s;ronaldfort;6968955-6968955;employee id_match
5268100;stacey williams;stacey.williams@gmail.com;christopher.burch@gmail.com;4899 0325 7671 1443;1918-05-26;9514982082;terminated;m;east arielmouth;5268100-5268100;employee id_match
5947774;megan buck;megan.buck@gmail.com;;4450 6079 5880 7108;1925-05-12;2762239567;active;s;transtad;5947774-5947774;employee id_match
4759770;jeffrey meyer;jeffrey.meyer@gmail.com;;4521 6571 5110 1028;1977-01-20;6369190563;active;other;glassmouth;4759770-4759770;employee id_match
8201776;donna johnson;donna.johnson@gmail.com;james.boyd@gmail.com;4289 3490 5389 4288;1917-12-22;6855781115;terminated;other;davidsonchester;8201776-7415694;email_match
4962580;ashley serrano;ashley.serrano@gmail.com;jim.beasley@gmail.com;4289 4417 4210 3914;1998-05-26;3968938349;terminated;m;reyesshire;4962580-4962580;employee id_match
6085733;anthony parks;anthony.parks@gmail.com;donna.buchanan@gmail.com;4195 6707 8505 7032;1928-02-16;7352737141;active;m;danielborough;6085733-6085733;employee id_match
1612247;darryl hudson;darryl.hudson@gmail.com;dennis.russell@gmail.com;4929 9119 5287 7916;1951-02-02;4304142577;active;other;andrewstad;1612247-1612247;employee id_match
6433171;leslie davidson;leslie.davidson@gmail.com;samuel.hernandez@gmail.com;4559 5770 6108 1992;1932-07-06;2204537216;active;other;diazstad;6433171-6433171;employee id_match
6638401;mercedes weaver;mercedes.weaver@gmail.com;richard.jordan@gmail.com;4176 6267 2360 8511;1988-08-05;3806591071;active;other;south randyside;6638401-6638401;employee id_match
8095663;stacy adams;stacy.adams@gmail.com;;4596 7161 8381 1077;1922-12-27;9949653971;active;s;north jennifer;8095663-8095663;employee id_match
3516862;shaun brooks;shaun.brooks@gmail.com;travis.davis@gmail.com;4246 6729 1008 9384;2020-02-23;2877082141;terminated;m;angelicaborough;3516862-3516862;employee id_match
3742013;richard jordan;richard.jordan@gmail.com;james.young@gmail.com;4339 7882 1048 0640;2000-08-28;4769615914;terminated;m;south danielfort;3742013-3742013;employee id_match
8045306;james boyd;james.boyd@gmail.com;mercedes.weaver@gmail.com;4783 8852 7692 2530;1931-09-09;8308051008;terminated;s;east danny;8045306-8045306;employee id_match
5859599;jim beasley;jim.beasley@gmail.com;catherine.evans@gmail.com;4900 8958 8565 1683;1961-01-23;5345260515;active;s;port jeffreyburgh;5859599-5859599;employee id_match
1985084;catherine evans;catherine.evans@gmail.com;donna.johnson@gmail.com;4604 4472 8293 0333;1927-10-26;3145973420;active;other;harrischester;1985084-1985084;employee id_match
2999920;william jackson;william.jackson@gmail.com;stacey.williams@gmail.com;4418 0503 8603 5284;1934-07-11;4283336885;terminated;s;josefort;2999920-1226141;email_match
5516985;dennis russell;dennis.russell@gmail.com;hannah.richards@gmail.com;4477 3435 1430 5986;1990-04-18;4594110482;active;s;east rachelville;5516985-5516985;employee id_match
7457254;selena ward;selena.ward@gmail.com;ashley.serrano@gmail.com;4791 0015 0532 3843;1921-08-07;5527091471;active;m;east susan;;
4149998;samuel hernandez;samuel.hernandez@gmail.com;leslie.davidson@gmail.com;4700 3706 9988 6380;1978-09-18;3855495730;active;m;port amyburgh;4149998-4149998;employee id_match
